Plot,Treatment,Type,Species,DBH,DSB,Height,DSB_m,Height_m,Biomass,C_per_tree,Carbon_kg.m2
Notburnt_6,UNBURNT,Shrub,Vetallaria paradoxa,NA,1.4,71,0.014,0.71,4.262760772,2.131380386,0.085255215
Notburnt_6,UNBURNT,Shrub,Vetallaria paradoxa,NA,1.1,62,0.011,0.62,2.626281678,1.313140839,0.052525634
Notburnt_6,UNBURNT,Shrub,Combretum adenogonium,NA,0.7,59,0.007,0.59,1.243671281,0.621835641,0.024873426
Notburnt_6,UNBURNT,Shrub,Crossopteryx febrifuga,NA,1.1,54,0.011,0.54,2.356725097,1.178362549,0.047134502
Notburnt_6,UNBURNT,Shrub,Crossopteryx febrifuga,NA,0.9,58,0.009,0.58,1.819711824,0.909855912,0.036394236
Notburnt_6,UNBURNT,Shrub,Crossopteryx febrifuga,NA,0.7,65,0.007,0.65,1.341768198,0.670884099,0.026835364
Notburnt_6,UNBURNT,Shrub,Crossopteryx febrifuga,NA,3,119,0.03,1.19,21.10775151,10.55387576,0.42215503
Notburnt_9,UNBURNT,Shrub,Combretum collinum,NA,0.6,55,0.006,0.55,0.924370015,0.462185008,0.0184874
Notburnt_9,UNBURNT,Shrub,Combretum collinum,NA,0.6,56,0.006,0.56,0.937519115,0.468759558,0.018750382
Notburnt_9,UNBURNT,Shrub,Combretum collinum,NA,0.7,61,0.007,0.61,1.276599798,0.638299899,0.025531996
Notburnt_9,UNBURNT,Shrub,Combretum collinum,NA,0.7,69,0.007,0.69,1.406075095,0.703037548,0.028121502
Notburnt_9,UNBURNT,Shrub,Combretum collinum,NA,1,96,0.01,0.96,3.186342279,1.59317114,0.063726846
Notburnt_9,UNBURNT,Shrub,Vetallaria paradoxa,NA,1.1,102,0.011,1.02,3.879958971,1.939979485,0.077599179
Notburnt_9,UNBURNT,Shrub,Maytenus senegalensis,NA,1.2,56,0.012,0.56,2.779297,1.3896485,0.05558594
Notburnt_9,UNBURNT,Shrub,Maytenus senegalensis,NA,1.4,63,0.014,0.63,3.881437502,1.940718751,0.07762875
Notburnt_9,UNBURNT,Shrub,Combretum collinum,NA,0.6,65,0.006,0.65,1.053703244,0.526851622,0.021074065
Notburnt_9,UNBURNT,Shrub,Combretum collinum,NA,0.7,69,0.007,0.69,1.406075095,0.703037548,0.028121502
Notburnt_9,UNBURNT,Shrub,Combretum collinum,NA,0.7,72,0.007,0.72,1.453776545,0.726888272,0.029075531
Notburnt_9,UNBURNT,Shrub,Maytenus senegalensis,NA,2.1,54,0.021,0.54,6.495145514,3.247572757,0.12990291
Notburnt_9,UNBURNT,Shrub,Maytenus senegalensis,NA,3.6,89,0.036,0.89,22.37112856,11.18556428,0.447422571
Notburnt_3,UNBURNT,Shrub,Anogeissus leiocapus,NA,1,85,0.01,0.85,2.896419766,1.448209883,0.057928395
Notburnt_3,UNBURNT,Shrub,Anogeissus leiocapus,NA,2,167,0.02,1.67,14.57915239,7.289576197,0.291583048
Notburnt_3,UNBURNT,Shrub,Anogeissus leiocapus,NA,2,139,0.02,1.39,12.62566133,6.312830667,0.252513227
Early2015_6,EARLY NEW,Shrub,Vetallaria paradoxa,NA,2.2,160,0.022,1.6,16.37004752,8.185023759,0.32740095
Early2015_6,EARLY NEW,Shrub,Vetallaria paradoxa,NA,1.2,57,0.012,0.57,2.818127666,1.409063833,0.056362553
Early2015_6,EARLY NEW,Shrub,Vetallaria paradoxa,NA,2.2,130,0.022,1.3,13.91106819,6.955534096,0.278221364
