Treatment,Location,Subplot,Horizon,Depth,SOC,C.density
Recent early,Early2015_2,4,7,5,4.082135806,81.64271612
Recent early,Early2015_2,4,12,5,2.595980005,51.91960011
Recent early,Early2015_2,5,2,2,1.813976294,90.69881471
Recent early,Early2015_2,5,7,5,3.059199838,61.18399675
Recent early,Early2015_2,5,12,5,3.452212488,69.04424976
Recent early,Early2015_2,5,17,5,3.902088768,78.04177535
Recent early,Early2015_27,1,2,2,3.642544733,182.1272367
Recent early,Early2015_27,1,7,5,5.178324806,103.5664961
Recent early,Early2015_27,1,12,5,5.582356233,111.6471247
Recent early,Early2015_27,2,2,2,1.010737641,50.53688206
Recent early,Early2015_27,2,7,5,3.915640325,78.31280649
Recent early,Early2015_27,2,12,5,3.165035565,63.3007113
Recent early,Early2015_27,3,2,2,0.637691402,31.88457009
Recent early,Early2015_27,3,7,5,2.521054997,50.42109994
Recent early,Early2015_27,3,12,5,2.035288181,40.70576361
Recent early,Early2015_27,4,2,2,1.218793446,60.9396723
Recent early,Early2015_27,4,7,5,3.49436335,69.88726699
Recent early,Early2015_27,4,12,5,3.414058719,68.28117439
Recent early,Early2015_27,5,2,2,0.957565614,47.87828072
Recent early,Early2015_27,5,7,5,3.005781953,60.11563906
Recent early,Early2015_27,5,12,5,2.899759611,57.99519221
Recent early,Early2015_27,5,17,5,3.670722149,73.41444297
Unburnt,Notburnt_1,1,2,2,2.501313158,125.0656579
Unburnt,Notburnt_1,1,7,5,3.226248478,64.52496956
Unburnt,Notburnt_1,1,12,5,3.284488199,65.68976397
Unburnt,Notburnt_1,2,2,2,0.95340312,47.670156
Unburnt,Notburnt_1,2,7,5,3.367353012,67.34706023
Unburnt,Notburnt_1,2,12,5,2.870070943,57.40141886
Unburnt,Notburnt_1,3,2,2,0.949560223,47.47801117
Unburnt,Notburnt_1,3,7,5,3.266558112,65.33116225
Unburnt,Notburnt_1,3,12,5,2.992256453,59.84512906
Unburnt,Notburnt_1,4,2,2,0.924275524,46.21377619
Unburnt,Notburnt_1,4,7,5,1.668711531,33.37423061
Unburnt,Notburnt_1,4,12,5,3.175208141,63.50416281
Unburnt,Notburnt_1,5,2,2,0.954264914,47.71324572
Unburnt,Notburnt_1,5,7,5,2.484509676,49.69019353
Unburnt,Notburnt_1,5,12,5,3.023915769,60.47831538
Unburnt,Notburnt_1,5,17,5,2.577052174,51.54104348
Unburnt,Notburnt_2,1,2,2,1.789811431,89.49057156
Unburnt,Notburnt_2,1,7,5,2.791025887,55.82051775
Unburnt,Notburnt_2,1,12,5,3.663694258,73.27388516
Unburnt,Notburnt_2,2,2,2,0.932836537,46.64182683
Unburnt,Notburnt_2,2,7,5,3.263905263,65.27810526
Unburnt,Notburnt_2,2,12,5,3.375945067,67.51890134
Unburnt,Notburnt_2,3,2,2,0.805695542,40.28477708
Unburnt,Notburnt_2,3,7,5,7.589964399,151.799288
Unburnt,Notburnt_2,3,12,5,2.777074901,55.54149802
Unburnt,Notburnt_2,4,2,2,0.611299535,30.56497674
Unburnt,Notburnt_2,4,7,5,2.547734195,50.95468391
